year,county,city,asmDist,senDist,flName,program,WABgrant
2023,Milwaukee,Milwaukee,19,7,Milwaukee Art Museum,CPP/PRA,"21,510"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Arts Board,RGT,"24,000"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Chamber Theatre,CPP/PRA,"10,090"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Childrens Choir,CPP/PRA,790
2023,Milwaukee,Milwaukee,19,7,Milwaukee Childrens Choir,CPP/PRA,"1,670"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Jewish Federation,CCP/AIE,"6,000"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Repertory Theater,CPP/PRA,"21,520"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Symphony Orchestra,CPP/PRA,"21,510"
2023,Milwaukee,Milwaukee,19,7,Milwaukee Youth Theatre,CPP/COA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Present Music,CPP/PRA,"3,800"
2023,Milwaukee,Milwaukee,19,7,Renaissance Theaterworks,CPP/PRA,"8,610"
2023,Milwaukee,Milwaukee,19,7,Sculpture Milwaukee,CPP/PRA,"6,480"
2023,Milwaukee,Milwaukee,19,7,Skylight Music Theatre,CPP/PRA,"13,280"
2023,Milwaukee,Milwaukee,19,7,TBEY Arts Center,ACI,"6,450"
2023,Milwaukee,Milwaukee,19,7,Theatre Gigante,CPP/PRA,"2,740"
2023,Milwaukee,Milwaukee,19,7,UW-Milwaukee American Indian Student Center,WIA,"4,450"
2023,Milwaukee,Milwaukee,19,7,"Wild Space, Inc.",CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Wisconsin Conservatory of Music,CPP/PRA,"5,420"
2024,Milwaukee,Milwaukee,19,7,Aperi Animam,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Black Arts MKE,ACI,"9,000"
2024,Milwaukee,Milwaukee,19,7,Black Arts MKE,CPP/PRA,"4,420"
2024,Milwaukee,Milwaukee,19,7,Boulevard Ensemble,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Cactus Plus Corporation,CCP/LAA,"6,000"
2024,Milwaukee,Milwaukee,19,7,Civic Music Association of Milwaukee,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Danceworks,CPP/PRA,"12,740"
2024,Milwaukee,Milwaukee,19,7,Frankly Music,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Marcus Center for the Performing Arts,CPP/PRA,"19,490"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Art Museum,CPP/PRA,"25,000"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Arts Board,RGT,"24,000"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Ballet Company,CPP/PRA,"19,250"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Chamber Theatre,CPP/PRA,"11,440"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Repertory Theater,CPP/PRA,"25,000"
2024,Milwaukee,Milwaukee,19,7,Milwaukee School of Engineering,CCP/LAA,"6,000"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Symphony Orchestra,CPP/PRA,"25,000"
2024,Milwaukee,Milwaukee,19,7,Milwaukee Youth Theatre,CPP/COA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Renaissance Theaterworks,CPP/PRA,"9,690"
2024,Milwaukee,Milwaukee,19,7,Sculpture Milwaukee,CPP/PRA,"7,440"
2024,Milwaukee,Milwaukee,19,7,Skylight Music Theatre,CPP/PRA,"15,760"
2024,Milwaukee,Milwaukee,19,7,TBEY Arts Center,ACI,"9,000"
2024,Milwaukee,Milwaukee,19,7,UW-Milwaukee,WIA,"3,590"
2024,Milwaukee,Milwaukee,19,7,"Wild Space, Inc.",CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,19,7,Wisconsin Conservatory of Music,CPP/PRA,"4,080"
2024,Milwaukee,Milwaukee,19,7,Flutes at Dawn,CCP/AIE,"6,000"
2023,Milwaukee,South Milwaukee,20,7,South Milwaukee Performing Arts Center,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,20,7,Studio K Flamenco,CCP/FOL,"4,650"
2023,Milwaukee,Milwaukee,20,7,Summit Players Theatre,CPP/PRA,"2,460"
2024,Milwaukee,South Milwaukee,20,7,South Milwaukee Performing Arts Center,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,20,7,Studio K Flamenco,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,20,7,Summit Players Theatre,CPP/PRA,"2,850"
2023,Ozaukee,Cedarburg,22,8,Cedarburg Art Museum,CPP/COA,"2,460"
2023,Ozaukee,Cedarburg,22,8,Cedarburg Cultural Center,CPP/PRA,"4,650"
2023,Ozaukee,Mequon,22,8,Gatherings on the Green,CPP/PRA,"2,460"
2023,Ozaukee,Cedarburg,22,8,Wisconsin Museum of Quilts and Fiber Arts,CPP/COA,860
2023,Ozaukee,Cedarburg,22,8,Wisconsin Museum of Quilts and Fiber Arts,CPP/COA,"1,830"
2024,Ozaukee,Cedarburg,22,8,Cedarburg Art Museum,CPP/COA,"2,850"
2024,Ozaukee,Cedarburg,22,8,Cedarburg Cultural Center,CPP/PRA,"4,650"
2024,Ozaukee,Cedarburg,22,8,Wisconsin Museum of Quilts and Fiber Arts,CPP/COA,"2,090"
2024,Ozaukee,Cedarburg,22,8,Wisconsin Museum of Quilts and Fiber Arts,CPP/COA,"1,000"
2023,Milwaukee,Milwaukee,23,8,"Lynden, Inc.",CPP/PRA,"6,280"
2023,Milwaukee,Milwaukee,23,8,Milwaukee Ballet Company,CPP/PRA,"16,360"
2024,Milwaukee,Milwaukee,23,8,"Lynden, Inc.",CPP/PRA,"7,430"
2023,Manitowoc,Manitowoc,25,9,Capitol Civic Centre,CPP/PRA,"1,240"
2023,Manitowoc,Manitowoc,25,9,Capitol Civic Centre,CPP/PRA,"5,060"
2024,Manitowoc,Manitowoc,25,9,Capitol Civic Centre,CPP/PRA,"5,000"
2024,Manitowoc,Manitowoc,25,9,Capitol Civic Centre,CPP/PRA,"2,140"
2024,Sheboygan,Sheboygan,25,9,Dare to Dream Theatre,CCP/AIE,"6,000"
2023,Sheboygan,Sheboygan,26,9,Bookworm Gardens,CPP/PRA,"1,780"
2023,Sheboygan,Sheboygan,26,9,Bookworm Gardens,CPP/PRA,"3,750"
2023,Sheboygan,Sheboygan,26,9,John Michael Kohler Arts Center,CPP/PRA,"19,350"
2024,Sheboygan,Sheboygan,26,9,Bookworm Gardens,CPP/PRA,"6,350"
2024,Sheboygan,Sheboygan,26,9,John Michael Kohler Arts Center,CPP/PRA,"22,140"
2023,Sheboygan,Plymouth,27,9,Plymouth Arts Center,CPP/COA,"3,270"
2024,Sheboygan,Plymouth,27,9,Plymouth Arts Center,CPP/COA,"3,970"
2023,Pierce,Ellsworth,29,10,Ellsworth E3 Community Development Corporation,CCP/LAA,"2,100"
2024,Pepin,Pepin,29,10,Laura Ingalls Wilder Memorial Society,XSA,"2,500"
2023,St. Croix,Hudson,30,10,River City Chorale,CPP/PRA,790
2023,St. Croix,Hudson,30,10,River City Chorale,CPP/PRA,"1,670"
2023,St. Croix,Hudson,30,10,St Croix Valley Foundation,RGT,"6,500"
2024,St. Croix,Hudson,30,10,St Croix Valley Foundation,RGT,"6,500"
2024,Burnett,Webster,75,10,St. Croix Chippewa Indians of Wisconsin,WIA,"4,300"
2024,Polk,Saint Croix Falls,75,10,City of St. Croix Falls,CCP/LAA,"6,000"
2023,Walworth,Lake Geneva,33,11,Lake Geneva Symphony Orchestra,CPP/COA,790
2023,Walworth,Lake Geneva,33,11,Lake Geneva Symphony Orchestra,CPP/COA,"1,670"
2023,Walworth,Lyons,33,11,Sidonka J. Wadina,FAA,"3,500"
2024,Walworth,Lake Geneva,33,11,Lake Geneva Symphony Orchestra,CPP/COA,850
2024,Walworth,Lake Geneva,33,11,Lake Geneva Symphony Orchestra,CPP/COA,"2,000"
2024,Menominee,Keshena,6,12,College of Menominee Nation,WIA,"4,140"
2024,Menominee,Keshena,6,12,Wade R. Fernandez,FAA,"3,500"
2023,Oneida,Rhinelander,34,12,"ArtStart, Inc.",CPP/PRA,910
2023,Oneida,Rhinelander,34,12,"ArtStart, Inc.",CPP/PRA,"1,920"
2023,Oneida,Minocqua,34,12,Campanile Center for the Arts,CPP/PRA,790
2023,Oneida,Minocqua,34,12,Campanile Center for the Arts,CPP/PRA,"1,670"
2023,Oneida,Rhinelander,34,12,Rhinelander School District,CCP/AIE,"5,270"
2023,Oneida,Rhinelander,34,12,White Pine Community Broadcasting,CCP/LAA,"5,300"
2023,Vilas,Lac du Flambeau,34,12,Dillmans Creative Arts Foundation,CPP/PRA,"2,460"
2023,Vilas,Land O' Lakes,34,12,Land O' Lakes Area Artisans,CPP/PRA,980
2023,Vilas,Land O' Lakes,34,12,Land O' Lakes Area Artisans,CPP/PRA,"2,080"
2023,Vilas,Lac Du Flambeau,34,12,Waaswaaganing Institute of Indigenous Teaching and Learning,WIA,"5,800"
2023,Vilas,Eagle River,34,12,"Warehouse, Inc.",CCP/FOL,"5,140"
2024,Lafayette,Tomahawk,34,12,Tomahawk Public Library,XSA,"2,500"
2024,Oneida,Rhinelander,34,12,"ArtStart, Inc.",CPP/PRA,"3,250"
2024,Oneida,Minocqua,34,12,Campanile Center for the Arts,CPP/PRA,"4,350"
2024,Oneida,Rhinelander,34,12,White Pine Community Broadcasting,CCP/LAA,"6,000"
2024,Vilas,Land O' Lakes,34,12,Land O' Lakes Area Artisans,CPP/PRA,"2,510"
2024,Vilas,Land O' Lakes,34,12,Land O' Lakes Area Artisans,CPP/PRA,"1,000"
2024,Vilas,Lac Du Flambeau,34,12,Waaswaaganing Institute of Indigenous Teaching and Learning,WIA,"4,090"
2024,Vilas,Eagle River,34,12,"Warehouse, Inc.",CCP/LAA,"6,000"
2024,Vilas,Lac du Flambeau,34,12,Dillmans Creative Arts Foundation,CPP/PRA,"2,850"
2023,Langlade,Antigo,35,12,Antigo High School,CCP/LAA,"4,200"
2024,Florence,Florence,36,12,"Friends of the Florence County Library, Inc.",XSA,"2,500"
2024,Forest,Wabeno,36,12,Friends of Wabeno,XSA,"2,500"
2024,Dodge,Beaver Dam,37,13,Dodge County Center for the Arts,XSA,"2,500"
2024,Jefferson,Watertown,38,13,Watertown Arts Council,XSA,"2,500"
2023,Fond du Lac,Green Lake,39,13,Green Lake Festival of Music,CPP/PRA,790
2023,Fond du Lac,Green Lake,39,13,Green Lake Festival of Music,CPP/PRA,"1,670"
2023,Green Lake,Green Lake,39,13,Thrasher Opera House,CPP/PRA,790
2023,Green Lake,Green Lake,39,13,Thrasher Opera House,CPP/PRA,"1,670"
2024,Fond du Lac,Green Lake,39,14,Green Lake Festival of Music,CPP/PRA,"2,850"
2024,Green Lake,Green Lake,39,14,Thrasher Opera House,CPP/PRA,"4,440"
2024,Marquette,Endeavor,39,14,Marquette County HCE,XSA,"2,500"
2023,Columbia,Portage,40,14,Portage Center for the Arts,CPP/PRA,"1,020"
2023,Columbia,Portage,40,14,Portage Center for the Arts,CPP/PRA,"2,140"
2023,Sauk,Spring Green,40,14,American Players Theatre of Wisconsin,CPP/PRA,"5,270"
2023,Sauk,Spring Green,40,14,American Players Theatre of Wisconsin,CPP/PRA,"11,090"
2023,Sauk,Prairie du Sac,40,14,River Arts,CPP/PRA,790
2023,Sauk,Prairie du Sac,40,14,River Arts,CPP/PRA,"1,670"
2023,Sauk,Spring Green,40,14,River Valley ARTS,RGT,"4,500"
2023,Sauk,Baraboo,40,14,Sauk County Arts & Culture,RGT,"7,100"
2024,Sauk,Spring Green,40,14,River Valley ARTS,RGT,"4,500"
2024,Columbia,Portage,40,14,Portage Center for the Arts,CPP/PRA,"3,850"
2024,Sauk,Prairie du Sac,40,14,River Arts,CPP/PRA,"2,850"
2024,Sauk,Baraboo,40,14,Sauk County Arts & Culture,RGT,"7,100"
2023,Columbia,Wisconsin Dells,41,14,Little Eagle Arts Foundation,ACI,"6,440"
2023,Sauk,Reedsburg,41,14,CAL Center Presents,CPP/PRA,790
2023,Sauk,Reedsburg,41,14,CAL Center Presents,CPP/PRA,"1,670"
2023,Sauk,Reedsburg,41,14,Wormfarm Institute,CCP/LAA,"5,700"
2024,Columbia,Wisconsin Dells,41,14,Little Eagle Arts Foundation,WIA,"4,390"
2024,Sauk,Reedsburg,41,14,Wormfarm Institute,CPP/PRA,"3,730"
2024,Waupaca,Waupaca,57,14,Waupaca Community Arts Board,CCP/LAA,"4,230"
2024,Waupaca,Weyauwega,57,14,Weyauwega Arts Organization,CPP/PRA,"3,310"
2024,Adams,Adams,72,14,Adams Community Theatre,XSA,"2,500"
2023,Walworth,Whitewater,43,15,Steve Meisner,FAA,"3,500"
2023,Walworth,Whitewater,43,15,UW-Whitewater Young Auditorium,CPP/PRA,"6,430"
2023,Rock,Janesville,44,15,Janesville Performing Arts Center,CPP/PRA,"2,460"
2024,Rock,Janesville,44,15,Janesville Performing Arts Center,CPP/PRA,"5,170"
2023,Rock,Beloit,45,15,Beloit Art Center,CPP/COA,790
2023,Rock,Beloit,45,15,Beloit Art Center,CPP/COA,"1,670"
2023,Rock,Beloit,45,15,Beloit International Film Festival,CPP/COA,"2,460"
2024,Rock,Beloit,45,15,Beloit Art Center,CPP/COA,"2,000"
2024,Rock,Beloit,45,15,Beloit Art Center,CPP/COA,850
2024,Rock,Beloit,45,15,Beloit International Film Festival,CPP/COA,"2,850"
2023,Dane,Madison,47,16,Fermats Last Theater Company,CCP/LAA,"1,800"
2023,Dane,Belleville,47,16,Andrea L. Herkert,FAA,"3,500"
2023,Dane,Stoughton,47,16,Nancy Odalen,FAA,"3,500"
2023,Dane,Sun Prairie,48,16,"Prairie Music & Arts, Inc.",CCP/AIE,"4,760"
2023,Dane,Madison,48,16,Salon Piano Series,CPP/PRA,"2,460"
2024,Dane,Sun Prairie,48,16,"Prairie Music & Arts, Inc.",CCP/AIE,"6,000"
2024,Dane,Sun Prairie,48,16,"Centro Hispano, Inc.",CCP/LAA,"6,000"
2024,Dane,Madison,48,16,Salon Piano Series,CPP/PRA,"2,850"
2024,Sauk,Spring Green,40,17,American Players Theatre of Wisconsin,CPP/PRA,"12,000"
2024,Sauk,Spring Green,40,17,American Players Theatre of Wisconsin,CPP/PRA,"7,360"
2024,Richland,Viola,41,17,"Driftless Curiosity, Inc.",CCP/FOL,"6,000"
2023,Grant,Platteville,49,17,Friends of Our Gallery,CCP/LAA,"3,100"
2023,Dane,Oregon,50,17,Village of Oregon,CCP/LAA,"4,100"
2023,Green,Monroe,50,17,Monroe Arts Center,CPP/PRA,830
2023,Green,Monroe,50,17,Monroe Arts Center,CPP/PRA,"1,750"
2024,Green,Monroe,50,17,Monroe Arts Center,CPP/PRA,"2,000"
2024,Green,Monroe,50,17,Monroe Arts Center,CPP/PRA,"1,180"
2023,Iowa,Dodgeville,51,17,Folklore Village Farm,CPP/PRA,830
2023,Iowa,Dodgeville,51,17,Folklore Village Farm,CPP/PRA,"1,730"
2023,Iowa,Mineral Point,51,17,Shake Rag Alley,CPP/PRA,"1,050"
2023,Iowa,Mineral Point,51,17,Shake Rag Alley,CPP/PRA,"2,210"
2024,Iowa,Mineral Point,51,17,Shake Rag Alley,CPP/PRA,"3,960"
2024,Lafayette,Blanchardville,51,17,Blanchardville Public Library,XSA,"2,500"
2024,Iowa,Dodgeville,51,17,Folklore Village Farm,CPP/PRA,"1,030"
2024,Iowa,Dodgeville,51,17,Folklore Village Farm,CPP/PRA,"1,910"
2023,Outagamie,Appleton,52,18,Appleton Boychoir,CPP/PRA,"2,460"
2023,Outagamie,Appleton,52,18,NewVoices,CPP/COA,"2,460"
2023,Outagamie,Appleton,52,18,Trout Museum of Art,CPP/COA,"3,750"
